id,dni,nombres,apellido_paterno,apellido_materno,sexo,telefono,email,ocupacion
19,39593425,Kiara Elena,Aguilar,Vasquez,F,943234463,kiara.aguilar354@gmail.com,Empleado publico
20,69660128,Julio Dylan,Fernandez,Ochoa,M,929125261,julio.fernandez970@gmail.com,Agricultor
21,41335260,Vanessa Patricia,Quispe,Fernandez,F,908532670,vanessa.quispe817@gmail.com,Obrero de construccion
22,23884058,Diana Diana,Gutierrez,Romero,F,911620776,diana.gutierrez949@gmail.com,Docente
23,35434372,Elena Abigail,Bravo,Bravo,F,959218005,elena.bravo423@gmail.com,Empresario(a)
24,45137315,Fernando Marco,Paredes,Torres,M,914988288,fernando.paredes185@gmail.com,Enfermero tecnico
25,75383139,Alberto Elmer,Carrillo,Gutierrez,M,945259562,alberto.carrillo588@gmail.com,Independiente
26,50447738,Victor Samuel,Choque,Farfan,M,911485045,victor.choque982@gmail.com,Administrador(a)
27,74873489,Rodrigo Mateo,Ticona,Salvador,M,964580701,rodrigo.ticona87@gmail.com,Vendedor(a)
28,31168287,Elena Yesenia,Villanueva,Salvador,F,972484564,elena.villanueva997@gmail.com,Docente
29,52024853,Renata Lucia,Ibarra,Ibarra,F,995588390,renata.ibarra611@gmail.com,Administrador(a)
30,12693888,Wilson Benjamin,Paucar,Zavala,M,916576897,wilson.paucar1@gmail.com,Empresario(a)
31,20237204,Hugo Kevin,Cutipa,Nunez,M,932291506,hugo.cutipa952@gmail.com,Enfermero(a)
32,20120230,Renzo Adrian,Castillo,Villanueva,M,914791630,renzo.castillo769@gmail.com,Comerciante ambulante
33,38658023,Sofia Antonella,Leon,Garcia,F,932604626,sofia.leon321@gmail.com,Tecnico electricista
34,19709572,Flor Jhoana,Vasquez,Cruz,F,927356353,flor.vasquez276@gmail.com,Empresario(a)
35,56541771,Samuel Franco,Garcia,Zavala,M,916235689,samuel.garcia643@gmail.com,Docente
36,43371128,Karen Mia,Carrillo,Garcia,F,952459692,karen.carrillo40@gmail.com,Independiente
37,47985788,Oscar Thiago,Vargas,Choque,M,998555317,oscar.vargas552@gmail.com,Contador(a)
38,21124090,Ricardo Juan,Palacios,Vilca,M,940426620,ricardo.palacios294@gmail.com,Tecnico electricista
39,75805802,Julia Rafaella,Aquino,Chavez,F,956785712,julia.aquino260@gmail.com,Empresario(a)
40,29470495,Alexandra Elena,Condori,Farfan,F,954005360,alexandra.condori80@gmail.com,Chofer
41,79754797,Katherine Emily,Bravo,Cabrera,F,917208002,katherine.bravo134@gmail.com,Comerciante ambulante
42,63005319,Melissa Antonella,Bautista,Sanchez,F,954276075,melissa.bautista80@gmail.com,Administrador(a)
43,35880127,Franco Edgar,Rivera,Palacios,M,956399841,franco.rivera667@gmail.com,Enfermero tecnico
44,10857769,Bryan Nicolas,Cornejo,Campos,M,916928498,bryan.cornejo663@gmail.com,Empleado publico
45,66184576,Sebastian Nicolas,Choque,Cutipa,M,903784850,sebastian.choque753@gmail.com,Contador(a)
46,79784815,Alexander Jhoel,Ruiz,Cardenas,M,993792021,alexander.ruiz823@gmail.com,Cocinero(a)
47,10420378,Wilson Manuel,Flores,Alarcon,M,962670351,wilson.flores704@gmail.com,Enfermero tecnico
48,59232516,Fabricio Hugo,Romero,Rodriguez,M,973096475,fabricio.romero280@gmail.com,Obrero de construccion
49,48397002,Oscar Cristian,Campos,Rojas,M,911485641,oscar.campos315@gmail.com,Vendedor(a)
50,75395608,Gabriel Martin,Torres,Cabrera,M,914820933,gabriel.torres79@gmail.com,Contador(a)
51,22853779,Renata Kiara,Torres,Marin,F,938931994,renata.torres274@gmail.com,Comerciante ambulante
52,19225613,Ian Adrian,Espinoza,Silva,M,925608412,ian.espinoza164@gmail.com,Enfermero tecnico
53,31875210,Alexis Victor,Guzman,Apaza,M,934412647,alexis.guzman408@gmail.com,Docente
54,47562103,Paula Luana,Cornejo,Marin,F,977859793,paula.cornejo847@gmail.com,Independiente
55,38720088,Flor Jhoana,Espinoza,Alarcon,F,920163192,flor.espinoza14@gmail.com,Enfermero tecnico
56,57892767,Julio Jhoel,Marin,Cabrera,M,958945170,julio.marin437@gmail.com,Enfermero tecnico
57,35015026,Erick Edgar,Vega,Zavala,M,951526521,erick.vega152@gmail.com,Policia
58,30320012,Manuel Thiago,Gutierrez,Palacios,M,945960533,manuel.gutierrez987@gmail.com,Comerciante
59,64315475,Ricardo Angel,Torres,Rivera,M,926256558,ricardo.torres316@gmail.com,Comerciante ambulante
60,13874223,Ashley Dulce,Gonzales,Zavala,F,925979966,ashley.gonzales902@gmail.com,Agricultor
61,25878427,Ashley Renata,Delgado,Paredes,F,976839156,ashley.delgado919@gmail.com,Agricultor
62,48069114,Fernando Jose,Cutipa,Aquino,M,948894103,fernando.cutipa937@gmail.com,Ama de casa
63,67559097,Brenda Fiorella,Cabrera,Campos,F,905078808,brenda.cabrera536@gmail.com,Tecnico electricista
64,27227621,Juan Fabricio,Vargas,Espinoza,M,906948320,juan.vargas625@gmail.com,Agricultor
65,19002901,Hugo Adrian,Salvador,Rodriguez,M,993791712,hugo.salvador839@gmail.com,Enfermero tecnico
66,33297802,Sebastian Bryan,Rimac,Palacios,M,947217936,sebastian.rimac597@gmail.com,Enfermero tecnico
67,63485531,Angel Wilson,Romero,Silva,M,900742594,angel.romero496@gmail.com,Ama de casa
68,44700809,Yamil Leonardo,Rodriguez,Condori,M,904641985,yamil.rodriguez324@gmail.com,Mecanico
69,66455980,Miguel Jose,Cabanillas,Paredes,M,996878165,miguel.cabanillas961@gmail.com,Enfermero(a)
70,36867076,Fernando Julio,Cardenas,Cutipa,M,972640218,fernando.cardenas726@gmail.com,Docente
71,20779803,Elmer Sebastian,Choque,Vasquez,M,962632435,elmer.choque273@gmail.com,Independiente
72,65231302,Ivan Yamil,Machaca,Alarcon,M,929059136,ivan.machaca188@gmail.com,Administrador(a)
73,23018954,Flor Ana,Quispe,Gonzales,F,944710729,flor.quispe282@gmail.com,Policia
74,12626903,Katherine Valentina,Machaca,Cabanillas,F,908696334,katherine.machaca976@gmail.com,Mecanico
75,30278900,Emily Alessandra,Cabanillas,Mamani,F,924784671,emily.cabanillas134@gmail.com,Vendedor(a)
76,58874713,Alexander Carlos,Espinoza,Gutierrez,M,962840599,alexander.espinoza277@gmail.com,Personal de seguridad
77,48456562,Cristian Cristian,Bautista,Lazo,M,973245147,cristian.bautista56@gmail.com,Cocinero(a)
78,43169549,Pilar Alexandra,Choque,Cabrera,F,950121529,pilar.choque583@gmail.com,Contador(a)
79,29659898,Joaquin Aaron,Soto,Ochoa,M,943776464,joaquin.soto327@gmail.com,Enfermero(a)
80,58177601,Fabricio Andres,Ccahuana,Ticona,M,947186100,fabricio.ccahuana307@gmail.com,Independiente
81,14313464,Alberto Benjamin,Bautista,Sanchez,M,920632081,alberto.bautista8@gmail.com,Obrero de construccion
82,70891372,Fernando Jose,Paredes,Fernandez,M,904179096,fernando.paredes240@gmail.com,Empresario(a)
83,35122883,Ariana Grecia,Vargas,Torres,F,959204949,ariana.vargas549@gmail.com,Comerciante ambulante
84,53821126,Luz Lucia,Salazar,Herrera,F,919495669,luz.salazar733@gmail.com,Comerciante ambulante
85,49238446,Abigail Mia,Salvador,Ccahuana,F,952004674,abigail.salvador891@gmail.com,Comerciante ambulante
86,71373383,Martin Dylan,Cruz,Paucar,M,908684797,martin.cruz733@gmail.com,Policia
87,27714849,Cristian Benjamin,Reyes,Rivera,M,976246364,cristian.reyes67@gmail.com,Ama de casa
88,27786796,Julio Fabricio,Carrillo,Soto,M,924246019,julio.carrillo201@gmail.com,Obrero de construccion
89,58126912,Teresa Paula,Nunez,Marin,F,961923258,teresa.nunez566@gmail.com,Empleado publico
90,11052351,Yamil Alberto,Rimac,Ruiz,M,939060178,yamil.rimac766@gmail.com,Comerciante
91,28137446,Victor Miguel,Bautista,Reyes,M,981467006,victor.bautista836@gmail.com,Policia
92,67608707,Jhoana Estefany,Bautista,Huaraca,F,960487885,jhoana.bautista621@gmail.com,Personal de seguridad
93,76310925,Gabriela Flor,Vilca,Torres,F,924440554,gabriela.vilca1@gmail.com,Comerciante ambulante
94,54599605,Ivan Wilson,Cruz,Reyes,M,934773095,ivan.cruz635@gmail.com,Empleado publico
95,68936010,Erick Angel,Medina,Paredes,M,930246395,erick.medina856@gmail.com,Agricultor
96,79590329,Danna Jhoana,Bravo,Rojas,F,946627574,danna.bravo291@gmail.com,Chofer
97,53727809,Rafaella Yesenia,Pacheco,Ortiz,F,993297812,rafaella.pacheco808@gmail.com,Comerciante
98,45347806,Milagros Ruth,Diaz,Reyes,F,948346996,milagros.diaz362@gmail.com,Comerciante ambulante
99,49667759,Alexander Juan,Aquino,Pacheco,M,910985323,alexander.aquino378@gmail.com,Ama de casa
100,22886569,Marco Dylan,Ortiz,Huaman,M,907472911,marco.ortiz172@gmail.com,Docente
101,54479457,Karen Nicole,Alarcon,Vilca,F,999351417,karen.alarcon432@gmail.com,Empresario(a)
102,22655158,Vanessa Luz,Romero,Choque,F,984462055,vanessa.romero961@gmail.com,Policia
103,76264316,Gonzalo Renzo,Ramos,Espinoza,M,950456522,gonzalo.ramos666@gmail.com,Policia
104,27948372,Nayeli Rosa,Gutierrez,Carrillo,F,944607548,nayeli.gutierrez886@gmail.com,Tecnico electricista
105,42696786,Lucia Carmen,Rivera,Ibarra,F,939650900,lucia.rivera389@gmail.com,Comerciante
106,46284225,Elena Milagros,Yataco,Chavez,F,954068079,elena.yataco414@gmail.com,Policia
107,18754054,Manuel Samuel,Zavala,Quispe,M,969413472,manuel.zavala686@gmail.com,Mecanico
108,30060081,Aaron Raul,Ccahuana,Cabrera,M,953942493,aaron.ccahuana778@gmail.com,Mecanico
109,25113645,Milagros Teresa,Apaza,Marin,F,990057185,milagros.apaza56@gmail.com,Empleado publico
110,52770263,Martin Mateo,Alarcon,Salazar,M,991696274,martin.alarcon486@gmail.com,Vendedor(a)
111,71095009,Yamil Dylan,Mendoza,Yupanqui,M,994750810,yamil.mendoza563@gmail.com,Contador(a)
112,47373964,Manuel Gabriel,Huaraca,Cutipa,M,974651599,manuel.huaraca232@gmail.com,Enfermero(a)
113,19070102,Bryan Luis,Palacios,Espinoza,M,907384644,bryan.palacios736@gmail.com,Cocinero(a)
114,26833743,Gabriel Carlos,Diaz,Fernandez,M,906832732,gabriel.diaz319@gmail.com,Chofer
115,46023460,Teresa Alessandra,Rimac,Delgado,F,970307758,teresa.rimac457@gmail.com,Administrador(a)
116,64447277,Alessandra Grecia,Salvador,Marin,F,918209256,alessandra.salvador935@gmail.com,Comerciante
117,71470087,Luis Angel,Rodriguez,Diaz,M,937715815,luis.rodriguez207@gmail.com,Policia
118,76265154,Miguel Martin,Mendoza,Pacheco,M,951008843,miguel.mendoza780@gmail.com,Agricultor
119,12342230,Aaron Luis,Rojas,Cardenas,M,944170912,aaron.rojas407@gmail.com,Obrero de construccion
120,63641736,Wilson Mateo,Bautista,Vilca,M,970264230,wilson.bautista16@gmail.com,Docente
121,30995521,Fiorella Paula,Guzman,Marin,F,900508113,fiorella.guzman181@gmail.com,Comerciante ambulante
122,31920647,Benjamin Samuel,Delgado,Medina,M,965332528,benjamin.delgado476@gmail.com,Tecnico electricista
123,36422640,Brenda Valentina,Cutipa,Ramos,F,998450064,brenda.cutipa557@gmail.com,Vendedor(a)
124,66063992,Luis Franco,Ccahuana,Yataco,M,989446321,luis.ccahuana533@gmail.com,Agricultor
125,32548156,Rodrigo Erick,Palacios,Machaca,M,943195323,rodrigo.palacios620@gmail.com,Obrero de construccion
126,79561208,Emilio Alexander,Quispe,Condori,M,901144820,emilio.quispe511@gmail.com,Administrador(a)
127,31071642,Benjamin Oscar,Cabrera,Vasquez,M,917754670,benjamin.cabrera210@gmail.com,Mecanico
128,52648630,Valentina Mia,Silva,Castillo,F,916050782,valentina.silva141@gmail.com,Comerciante
129,66277630,Leonardo Juan,Medina,Gutierrez,M,908311305,leonardo.medina282@gmail.com,Ama de casa
130,43386999,Yesenia Milagros,Vasquez,Campos,F,975600268,yesenia.vasquez164@gmail.com,Vendedor(a)
131,42375493,Elmer Piero,Herrera,Reyes,M,985036658,elmer.herrera651@gmail.com,Agricultor
132,57033185,Alexander Gonzalo,Ramos,Bautista,M,922838681,alexander.ramos633@gmail.com,Enfermero(a)
133,24930208,Maria Ximena,Ccahuana,Herrera,F,979918861,maria.ccahuana221@gmail.com,Administrador(a)
134,78013490,Ana Vanessa,Apaza,Bautista,F,900705546,ana.apaza158@gmail.com,Enfermero tecnico
135,18801525,Mia Rosa,Alvarez,Soto,F,961418452,mia.alvarez542@gmail.com,Enfermero tecnico
136,29061413,Fiorella Ariana,Zavala,Choque,F,950736656,fiorella.zavala167@gmail.com,Comerciante
137,45124655,Martin Emilio,Mendoza,Medina,M,910907131,martin.mendoza883@gmail.com,Empresario(a)
138,18475080,Valentina Vanessa,Bravo,Marin,F,902604486,valentina.bravo315@gmail.com,Vendedor(a)
139,44592369,Yolanda Ashley,Vasquez,Ccahuana,F,944927352,yolanda.vasquez365@gmail.com,Policia
140,44364318,Dylan Pedro,Lazo,Villanueva,M,966053912,dylan.lazo733@gmail.com,Comerciante
141,42883984,Mia Danna,Chavez,Nunez,F,948772770,mia.chavez258@gmail.com,Vendedor(a)
142,32213586,Anthony Jose,Villanueva,Chavez,M,978930531,anthony.villanueva595@gmail.com,Empleado publico
143,64164710,Hugo Marco,Aguilar,Huaman,M,922346077,hugo.aguilar895@gmail.com,Vendedor(a)
144,49526517,Cesar Jose,Bravo,Mamani,M,932640370,cesar.bravo721@gmail.com,Comerciante
145,43681472,Martin Nicolas,Aguilar,Marin,M,938500776,martin.aguilar365@gmail.com,Comerciante ambulante
146,70983904,Yamil Piero,Huaman,Leon,M,977369857,yamil.huaman683@gmail.com,Vendedor(a)
147,18478404,Dylan Diego,Guzman,Herrera,M,960126154,dylan.guzman204@gmail.com,Vendedor(a)
148,32139234,Cesar Edgar,Garcia,Rodriguez,M,967028160,cesar.garcia378@gmail.com,Independiente
149,58756757,Martin Alexander,Gutierrez,Fernandez,M,912765410,martin.gutierrez983@gmail.com,Chofer
150,27128686,Walter Juan,Espinoza,Leon,M,930792697,walter.espinoza886@gmail.com,Docente
151,73406049,Danna Kiara,Medina,Paucar,F,937606590,danna.medina686@gmail.com,Policia
152,67801507,Andres Marco,Ticona,Pacheco,M,973374195,andres.ticona175@gmail.com,Obrero de construccion
153,64811896,Edgar Cristian,Salvador,Huaman,M,954881981,edgar.salvador428@gmail.com,Enfermero(a)
154,30208188,Gustavo Jorge,Ramos,Zavala,M,938907483,gustavo.ramos579@gmail.com,Agricultor
155,26574022,Luana Nicole,Cardenas,Espinoza,F,941376411,luana.cardenas337@gmail.com,Chofer
156,68946319,Nicole Diana,Espinoza,Bravo,F,921307076,nicole.espinoza327@gmail.com,Docente
157,73125088,Franco Victor,Vargas,Guzman,M,931953524,franco.vargas176@gmail.com,Obrero de construccion
158,13187379,Gonzalo Hugo,Alvarez,Choque,M,962031250,gonzalo.alvarez491@gmail.com,Enfermero tecnico
159,61801008,Yesica Diana,Soto,Flores,F,931665312,yesica.soto227@gmail.com,Tecnico electricista
160,55271583,Alexander Wilson,Cabanillas,Ortiz,M,971113971,alexander.cabanillas80@gmail.com,Comerciante ambulante
161,44008508,Luz Paula,Cornejo,Paredes,F,989346859,luz.cornejo229@gmail.com,Policia
162,49908540,Hugo Jose,Ruiz,Alarcon,M,982125594,hugo.ruiz317@gmail.com,Chofer
163,24991067,Jhon Yamil,Apaza,Villanueva,M,905376408,jhon.apaza862@gmail.com,Vendedor(a)
164,64721824,Jhoel Cristian,Espinoza,Delgado,M,923445762,jhoel.espinoza620@gmail.com,Cocinero(a)
165,36995958,Joaquin Gonzalo,Carrillo,Condori,M,908670781,joaquin.carrillo791@gmail.com,Ama de casa
166,21281414,Oscar Gabriel,Flores,Paredes,M,950846546,oscar.flores532@gmail.com,Administrador(a)
167,49624988,Ariana Grecia,Diaz,Cornejo,F,914918861,ariana.diaz695@gmail.com,Docente
168,22978456,Milagros Ximena,Yupanqui,Fernandez,F,947723079,milagros.yupanqui769@gmail.com,Mecanico
169,62102286,Daniela Vanessa,Alarcon,Medina,F,992438306,daniela.alarcon242@gmail.com,Empresario(a)
170,42960489,Gonzalo Diego,Espinoza,Guzman,M,983626253,gonzalo.espinoza165@gmail.com,Independiente
171,48832864,Kiara Yolanda,Paredes,Palacios,F,969049937,kiara.paredes223@gmail.com,Enfermero tecnico
172,27210869,Yolanda Isabel,Diaz,Diaz,F,948504048,yolanda.diaz227@gmail.com,Empresario(a)
173,25793906,Diana Karen,Paucar,Ccahuana,F,937565630,diana.paucar53@gmail.com,Chofer
174,37277109,Edgar Wilson,Vargas,Salvador,M,976808169,edgar.vargas385@gmail.com,Comerciante ambulante
175,74832087,Cristian Cesar,Flores,Paucar,M,905108935,cristian.flores780@gmail.com,Personal de seguridad
176,34174475,Karen Valentina,Lazo,Ccahuana,F,909555346,karen.lazo248@gmail.com,Obrero de construccion
177,60713099,Karen Yesica,Cruz,Garcia,F,954045416,karen.cruz279@gmail.com,Comerciante ambulante
178,17222446,Fiorella Mia,Vilca,Sanchez,F,931071129,fiorella.vilca974@gmail.com,Cocinero(a)
179,60111121,Susan Teresa,Quispe,Pacheco,F,943208787,susan.quispe378@gmail.com,Personal de seguridad
180,42848937,Hugo Jhoel,Cruz,Vargas,M,905214079,hugo.cruz93@gmail.com,Chofer
181,27783594,Julia Diana,Alarcon,Cabrera,F,927453724,julia.alarcon796@gmail.com,Vendedor(a)
182,25717252,Fernando Adrian,Vasquez,Ticona,M,970494964,fernando.vasquez403@gmail.com,Empresario(a)
183,71296700,Dylan Yamil,Herrera,Condori,M,916927058,dylan.herrera906@gmail.com,Agricultor
184,69897533,Flor Melissa,Ruiz,Mamani,F,902806717,flor.ruiz596@gmail.com,Enfermero(a)
185,75202884,Jose Victor,Rivera,Yataco,M,992848558,jose.rivera18@gmail.com,Tecnico electricista
186,51582095,Hugo Ian,Torres,Apaza,M,957483762,hugo.torres729@gmail.com,Mecanico
187,32834015,Melissa Diana,Farfan,Salvador,F,923264690,melissa.farfan419@gmail.com,Comerciante
188,78977262,Gabriela Diana,Pacheco,Ortiz,F,932918941,gabriela.pacheco527@gmail.com,Administrador(a)
189,61711892,Cesar Marco,Alarcon,Espinoza,M,968254537,cesar.alarcon655@gmail.com,Docente
190,44285668,Yesenia Brenda,Ruiz,Reyes,F,935405774,yesenia.ruiz885@gmail.com,Policia
191,19453829,Manuel Hugo,Cabanillas,Mamani,M,918933011,manuel.cabanillas164@gmail.com,Obrero de construccion
192,50569637,Rosa Britany,Diaz,Romero,F,967392951,rosa.diaz71@gmail.com,Empresario(a)
193,54160001,Jorge Jose,Yupanqui,Ruiz,M,983343684,jorge.yupanqui744@gmail.com,Ama de casa
194,20655794,Erick Cristian,Fernandez,Fernandez,M,985122571,erick.fernandez868@gmail.com,Personal de seguridad
195,47026678,Jhon Fernando,Gutierrez,Vargas,M,944286306,jhon.gutierrez511@gmail.com,Ama de casa
196,40417154,Jorge Dylan,Vilca,Nunez,M,998138586,jorge.vilca549@gmail.com,Agricultor
197,54412416,Wilson Wilson,Farfan,Apaza,M,927471878,wilson.farfan702@gmail.com,Contador(a)
198,53743210,Luana Zoe,Leon,Vega,F,969587071,luana.leon181@gmail.com,Ama de casa
199,54056936,Milagros Susan,Cardenas,Aquino,F,945722818,milagros.cardenas889@gmail.com,Enfermero(a)
200,51146945,Miguel Gonzalo,Soto,Quispe,M,958133232,miguel.soto142@gmail.com,Cocinero(a)
201,68855383,Erick Piero,Condori,Bautista,M,984989377,erick.condori953@gmail.com,Enfermero tecnico
202,53529036,Luana Ariana,Alvarez,Cardenas,F,940433612,luana.alvarez538@gmail.com,Tecnico electricista
203,36669685,Antonella Sofia,Alarcon,Romero,F,914117414,antonella.alarcon338@gmail.com,Enfermero tecnico
204,36560292,Gabriela Sofia,Bravo,Ticona,F,916679266,gabriela.bravo610@gmail.com,Administrador(a)
205,63351912,Elena Estefany,Flores,Vargas,F,946104534,elena.flores235@gmail.com,Comerciante
206,70325404,Rodrigo Elmer,Flores,Ochoa,M,990148040,rodrigo.flores521@gmail.com,Administrador(a)
207,11385685,Yesica Camila,Rojas,Ramos,F,949307468,yesica.rojas678@gmail.com,Administrador(a)
208,24977570,Aaron Piero,Guzman,Mendoza,M,960619034,aaron.guzman900@gmail.com,Mecanico
209,31066609,Luz Rafaella,Bravo,Alvarez,F,989868834,luz.bravo791@gmail.com,Vendedor(a)
210,26600647,Elena Melissa,Cruz,Guzman,F,905868415,elena.cruz837@gmail.com,Obrero de construccion
211,13635317,Teresa Antonella,Cornejo,Yupanqui,F,974168324,teresa.cornejo120@gmail.com,Contador(a)
212,34327955,Estefany Danna,Farfan,Reyes,F,942193198,estefany.farfan54@gmail.com,Personal de seguridad
213,18168753,Katherine Xiomara,Lazo,Zavala,F,942284264,katherine.lazo320@gmail.com,Policia
214,11897421,Yesenia Dulce,Ccahuana,Paredes,F,940792717,yesenia.ccahuana336@gmail.com,Independiente
215,15339356,Martin Bryan,Alarcon,Apaza,M,924618076,martin.alarcon403@gmail.com,Policia
216,77532009,Dulce Gabriela,Cruz,Fernandez,F,962363770,dulce.cruz140@gmail.com,Comerciante ambulante
217,14903163,Alessandra Ruth,Huaman,Rivera,F,937613071,alessandra.huaman208@gmail.com,Empresario(a)
218,14409391,Thiago Mateo,Vilca,Rodriguez,M,920043260,thiago.vilca462@gmail.com,Cocinero(a)
219,79831542,Jhoana Diana,Huaraca,Choque,F,954778733,jhoana.huaraca589@gmail.com,Obrero de construccion
220,73183114,Samuel Walter,Villanueva,Choque,M,914415191,samuel.villanueva347@gmail.com,Tecnico electricista
221,66811231,Alexandra Lucia,Rodriguez,Vilca,F,984569264,alexandra.rodriguez647@gmail.com,Enfermero(a)
222,36429680,Ian Aaron,Chavez,Leon,M,982858972,ian.chavez115@gmail.com,Empresario(a)
223,33407564,Ian Gonzalo,Cabanillas,Vargas,M,963022030,ian.cabanillas343@gmail.com,Empleado publico
224,62410137,Dulce Luana,Delgado,Cutipa,F,982266098,dulce.delgado745@gmail.com,Policia
225,16569451,Jorge Ian,Ccahuana,Nunez,M,924941065,jorge.ccahuana496@gmail.com,Enfermero(a)
226,72467178,Renata Gabriela,Ortiz,Machaca,F,927172445,renata.ortiz859@gmail.com,Empleado publico
227,10015931,Ana Rosa,Pacheco,Sanchez,F,999031200,ana.pacheco317@gmail.com,Vendedor(a)
228,39107242,Andres Renzo,Ortiz,Rimac,M,908349898,andres.ortiz348@gmail.com,Cocinero(a)
229,32927087,Renzo Manuel,Ibarra,Ruiz,M,983649106,renzo.ibarra118@gmail.com,Docente
230,33826924,Katherine Milagros,Ramos,Delgado,F,940987582,katherine.ramos366@gmail.com,Enfermero(a)
231,75121316,Bryan Joaquin,Farfan,Cruz,M,936997521,bryan.farfan287@gmail.com,Obrero de construccion
232,21334199,Martin Adrian,Leon,Aguilar,M,950069662,martin.leon413@gmail.com,Cocinero(a)
233,34216399,Cesar Angel,Espinoza,Aquino,M,957299458,cesar.espinoza460@gmail.com,Policia
234,72215367,Kiara Ximena,Zavala,Flores,F,988322161,kiara.zavala325@gmail.com,Comerciante ambulante
235,51801347,Ana Ximena,Herrera,Quispe,F,984506908,ana.herrera105@gmail.com,Enfermero(a)
236,41037223,Emilio Joaquin,Bautista,Espinoza,M,901311276,emilio.bautista592@gmail.com,Enfermero tecnico
237,11207531,Pilar Emily,Bravo,Cornejo,F,978454334,pilar.bravo441@gmail.com,Independiente
238,49382262,Franco Dylan,Espinoza,Aquino,M,900840268,franco.espinoza733@gmail.com,Ama de casa
239,38464401,Walter Gabriel,Cabrera,Apaza,M,906336479,walter.cabrera639@gmail.com,Personal de seguridad
240,56941192,Ian Andres,Ruiz,Garcia,M,937540287,ian.ruiz289@gmail.com,Policia
241,51342509,Alexis Cesar,Huaraca,Aquino,M,908880854,alexis.huaraca432@gmail.com,Contador(a)
242,11858024,Alessandra Ana,Rodriguez,Paredes,F,924269914,alessandra.rodriguez546@gmail.com,Policia
243,60183105,Lucia Carmen,Rodriguez,Rimac,F,978683402,lucia.rodriguez391@gmail.com,Chofer
244,54040214,Mateo Juan,Carrillo,Campos,M,911392527,mateo.carrillo750@gmail.com,Policia
245,50267302,Nayeli Valentina,Chavez,Rodriguez,F,987396084,nayeli.chavez683@gmail.com,Vendedor(a)
246,43681741,Fiorella Kiara,Diaz,Marin,F,981186098,fiorella.diaz681@gmail.com,Administrador(a)
247,23601203,Gabriela Gabriela,Huaraca,Ochoa,F,947856050,gabriela.huaraca110@gmail.com,Policia
248,56790693,Walter Samuel,Cabrera,Aguilar,M,914867353,walter.cabrera455@gmail.com,Obrero de construccion
249,67382972,Hugo Dylan,Chavez,Romero,M,902283501,hugo.chavez828@gmail.com,Cocinero(a)
250,21144998,Mia Kiara,Apaza,Herrera,F,906903673,mia.apaza718@gmail.com,Tecnico electricista
251,19503027,Flor Sofia,Vilca,Huaraca,F,934865004,flor.vilca582@gmail.com,Empleado publico
252,44191734,Fiorella Teresa,Reyes,Villanueva,F,957678618,fiorella.reyes139@gmail.com,Vendedor(a)
253,43479244,Anthony Jorge,Diaz,Salvador,M,949718226,anthony.diaz67@gmail.com,Vendedor(a)
254,22801989,Nicolas Samuel,Guzman,Quispe,M,991914285,nicolas.guzman615@gmail.com,Enfermero tecnico
255,15227487,Juan Nicolas,Ibarra,Chavez,M,960062399,juan.ibarra951@gmail.com,Tecnico electricista
256,57667552,Katherine Britany,Condori,Rojas,F,991913020,katherine.condori867@gmail.com,Independiente
257,19546049,Juan Aaron,Yataco,Leon,M,920661657,juan.yataco447@gmail.com,Mecanico
