id,dni,nombres,apellido_paterno,apellido_materno,sexo,fecha_nacimiento,nivel,grado,seccion,turno,id_seccion,id_padre,parentesco
21,22524193,Brenda Pilar,Nunez,Rojas,F,2020-10-12,Primaria,1,A,Mañana,1,1798,Padre
22,30635006,Maria Katty,Rivera,Marin,F,2020-08-18,Primaria,1,A,Mañana,1,1317,Padre
23,26268244,Isabel Alessandra,Gonzales,Rimac,F,2020-01-12,Primaria,1,A,Mañana,1,252,Madre
24,45046147,Ximena Grecia,Choque,Vasquez,F,2020-12-03,Primaria,1,B,Mañana,2,1589,Padre
25,58921336,Valentina Katherine,Bravo,Ticona,F,2020-06-14,Primaria,1,B,Mañana,2,2127,Padre
26,73655841,Susan Xiomara,Carrillo,Vega,F,2020-11-26,Primaria,1,B,Mañana,2,1201,Padre
27,69758470,Samuel Franco,Delgado,Huaraca,M,2020-11-13,Primaria,1,B,Mañana,2,71,Padre
28,53242057,Rodrigo Ricardo,Villanueva,Campos,M,2020-02-25,Primaria,1,B,Mañana,2,692,Madre
29,61634875,Ian Dylan,Lazo,Pacheco,M,2020-02-14,Primaria,1,B,Mañana,2,326,Padre
30,65737610,Karen Nayeli,Huaman,Paredes,F,2020-03-09,Primaria,1,B,Mañana,2,1014,Madre
31,48420297,Fiorella Danna,Aguilar,Fernandez,F,2020-05-03,Primaria,1,B,Mañana,2,1301,Madre
32,72598655,Karen Abigail,Sanchez,Reyes,F,2020-11-01,Primaria,1,B,Mañana,2,1177,Madre
33,15090775,Fiorella Lucia,Rimac,Ticona,F,2020-04-05,Primaria,1,B,Mañana,2,1719,Padre
34,30295901,Alessandra Alexandra,Vargas,Condori,F,2020-01-07,Primaria,1,B,Mañana,2,1974,Padre
35,75419170,Xiomara Antonella,Bravo,Pacheco,F,2020-08-05,Primaria,1,B,Mañana,2,984,Padre
36,14752298,Nayeli Rosa,Salazar,Ibarra,F,2020-06-27,Primaria,1,B,Mañana,2,766,Madre
37,38723243,Teresa Luz,Gutierrez,Rivera,F,2020-07-04,Primaria,1,B,Mañana,2,2993,Madre
38,69577232,Antonella Sofia,Ruiz,Ochoa,F,2020-08-29,Primaria,1,B,Mañana,2,1687,Padre
39,18829902,Camila Alessandra,Sanchez,Castillo,F,2020-03-01,Primaria,1,B,Mañana,2,1938,Padre
40,66116310,Miguel Julio,Aguilar,Flores,M,2020-01-13,Primaria,1,B,Mañana,2,122,Padre
41,56799185,Rafaella Luz,Sanchez,Rivera,F,2020-05-15,Primaria,1,B,Mañana,2,588,Madre
42,45859465,Ximena Teresa,Gonzales,Rivera,F,2020-04-24,Primaria,1,B,Mañana,2,2817,Madre
43,48129537,Valentina Vanessa,Leon,Bautista,F,2020-10-10,Primaria,1,B,Mañana,2,1140,Madre
44,72983859,Walter Benjamin,Torres,Ortiz,M,2020-08-24,Primaria,1,B,Mañana,2,1669,Madre
45,31682575,Ricardo Victor,Nunez,Villanueva,M,2020-04-07,Primaria,1,B,Mañana,2,1938,Padre
46,48714484,Victor Gonzalo,Herrera,Mendoza,M,2020-07-31,Primaria,1,B,Mañana,2,3077,Padre
47,65331356,Manuel Bryan,Aguilar,Ticona,M,2020-03-21,Primaria,1,B,Mañana,2,2606,Padre
48,72861249,Valentina Ruth,Soto,Cruz,F,2020-04-17,Primaria,1,B,Mañana,2,2838,Padre
49,44243475,Susan Dulce,Cardenas,Ccahuana,F,2020-07-29,Primaria,1,B,Mañana,2,1234,Madre
50,24594747,Victor Thiago,Silva,Aquino,M,2020-02-20,Primaria,1,B,Mañana,2,1205,Madre
51,21629897,Jhoel Ian,Salvador,Salazar,M,2020-03-25,Primaria,1,B,Mañana,2,1844,Madre
52,74848696,Karen Ashley,Cornejo,Bautista,F,2020-02-03,Primaria,1,B,Mañana,2,233,Padre
53,24098473,Paula Milagros,Condori,Salvador,F,2020-02-25,Primaria,1,B,Mañana,2,39,Madre
54,55029758,Ariana Flor,Aguilar,Herrera,F,2020-11-14,Primaria,1,C,Mañana,3,3085,Madre
55,56518459,Rafaella Alessandra,Gonzales,Condori,F,2020-03-02,Primaria,1,C,Mañana,3,1596,Padre
56,43478588,Leonardo Cesar,Alvarez,Soto,M,2020-08-08,Primaria,1,C,Mañana,3,2463,Madre
57,18059978,Edgar Gabriel,Cabrera,Ramos,M,2020-02-06,Primaria,1,C,Mañana,3,267,Padre
58,54092428,Julio Oscar,Palacios,Lazo,M,2020-01-16,Primaria,1,C,Mañana,3,614,Madre
59,22658000,Yamil Cristian,Ortiz,Choque,M,2020-04-29,Primaria,1,C,Mañana,3,1891,Padre
60,61815761,Melissa Estefany,Guzman,Machaca,F,2020-09-30,Primaria,1,C,Mañana,3,993,Madre
61,42163443,Jorge Leonardo,Alvarez,Quispe,M,2020-02-08,Primaria,1,C,Mañana,3,33,Madre
62,25378293,Paula Alexandra,Machaca,Campos,F,2020-02-14,Primaria,1,C,Mañana,3,3196,Madre
63,19857026,Ivan Adrian,Choque,Rivera,M,2020-03-06,Primaria,1,C,Mañana,3,2294,Padre
64,63625802,Nicole Jhoana,Bautista,Villanueva,F,2020-10-14,Primaria,1,C,Mañana,3,2718,Madre
65,61295976,Jose Aaron,Vargas,Zavala,M,2020-01-01,Primaria,1,C,Mañana,3,1148,Madre
66,18887148,Angel Oscar,Rojas,Rimac,M,2020-04-29,Primaria,1,C,Mañana,3,1784,Madre
67,61818153,Thiago Jhon,Choque,Lazo,M,2020-08-04,Primaria,1,C,Mañana,3,664,Padre
68,23342090,Anthony Carlos,Choque,Gutierrez,M,2020-04-18,Primaria,1,C,Mañana,3,2689,Madre
69,37081028,Dylan Edgar,Palacios,Yataco,M,2020-01-29,Primaria,1,C,Mañana,3,2612,Padre
70,19051747,Xiomara Yolanda,Ccahuana,Aquino,F,2020-03-04,Primaria,1,C,Mañana,3,1088,Madre
71,63732586,Cristian Andres,Aquino,Cornejo,M,2020-03-22,Primaria,1,C,Mañana,3,2220,Madre
72,31359077,Camila Karen,Chavez,Campos,F,2020-03-18,Primaria,1,C,Mañana,3,2636,Padre
73,76498795,Carmen Xiomara,Machaca,Rivera,F,2020-05-04,Primaria,1,C,Mañana,3,1284,Madre
74,10553833,Renzo Alexis,Gutierrez,Campos,M,2020-04-21,Primaria,1,C,Mañana,3,2016,Madre
75,27197176,Nayeli Julia,Alvarez,Espinoza,F,2020-11-05,Primaria,1,C,Mañana,3,11,Madre
76,49725492,Elena Abigail,Delgado,Herrera,F,2020-07-09,Primaria,1,C,Mañana,3,496,Padre
77,38774192,Lucia Maria,Ibarra,Yupanqui,F,2020-10-22,Primaria,1,C,Mañana,3,833,Madre
78,10054312,Jhoana Daniela,Romero,Ibarra,F,2020-07-13,Primaria,1,C,Mañana,3,2989,Madre
79,68141099,Luis Diego,Medina,Ruiz,M,2020-09-29,Primaria,1,C,Mañana,3,2889,Madre
80,16312267,Alexis Carlos,Flores,Apaza,M,2020-10-13,Primaria,1,C,Mañana,3,3051,Padre
81,74442179,Carlos Alexis,Yupanqui,Gutierrez,M,2020-05-28,Primaria,1,C,Mañana,3,1099,Madre
82,75881915,Melissa Ashley,Delgado,Bravo,F,2020-06-25,Primaria,1,C,Mañana,3,3119,Padre
83,13800950,Patricia Antonella,Torres,Soto,F,2020-03-06,Primaria,1,C,Mañana,3,2876,Madre
84,35348636,Ana Katherine,Cornejo,Yupanqui,F,2020-04-03,Primaria,1,C,Mañana,3,352,Padre
85,17142641,Ariana Antonella,Salazar,Rojas,F,2020-04-24,Primaria,1,C,Mañana,3,2218,Padre
86,32820825,Cristian Ivan,Cutipa,Ortiz,M,2020-02-17,Primaria,1,C,Mañana,3,1582,Padre
87,69415334,Oscar Rodrigo,Yupanqui,Ibarra,M,2020-08-07,Primaria,1,C,Mañana,3,366,Padre
88,60823949,Benjamin Juan,Vega,Paredes,M,2020-07-10,Primaria,1,C,Mañana,3,1472,Padre
89,76326593,Gabriel Jhoel,Cutipa,Villanueva,M,2020-10-03,Primaria,1,C,Mañana,3,3027,Padre
90,49830482,Kevin Oscar,Paredes,Vega,M,2020-12-29,Primaria,1,D,Mañana,4,2609,Madre
91,62362193,Dulce Mia,Choque,Espinoza,F,2020-04-16,Primaria,1,D,Mañana,4,2478,Padre
92,64461712,Katty Melissa,Alvarez,Mamani,F,2020-05-12,Primaria,1,D,Mañana,4,3060,Padre
93,42762386,Marco Benjamin,Cabanillas,Rojas,M,2020-02-24,Primaria,1,D,Mañana,4,2219,Padre
94,20483745,Rosa Carmen,Pacheco,Vargas,F,2020-07-06,Primaria,1,D,Mañana,4,2394,Padre
95,78569779,Rodrigo Cesar,Carrillo,Bravo,M,2020-12-22,Primaria,1,D,Mañana,4,2703,Madre
96,59378594,Leonardo Marco,Campos,Ruiz,M,2020-03-17,Primaria,1,D,Mañana,4,1021,Padre
97,29092057,Alexander Yamil,Apaza,Cutipa,M,2020-01-14,Primaria,1,D,Mañana,4,64,Padre
98,77285083,Yolanda Isabel,Guzman,Condori,F,2020-12-05,Primaria,1,D,Mañana,4,2487,Padre
99,52526277,Luana Abigail,Aguilar,Zavala,F,2020-11-17,Primaria,1,D,Mañana,4,64,Padre
100,20639400,Gabriela Alexandra,Rojas,Torres,F,2020-12-11,Primaria,1,D,Mañana,4,508,Madre
101,29804066,Carlos Anthony,Gutierrez,Paucar,M,2020-07-30,Primaria,1,D,Mañana,4,2824,Padre
102,52767802,Marco Jorge,Castillo,Campos,M,2020-07-05,Primaria,1,D,Mañana,4,1623,Madre
103,55772543,Elmer Leonardo,Soto,Apaza,M,2020-08-27,Primaria,1,D,Mañana,4,1746,Madre
104,62361153,Benjamin Dylan,Reyes,Torres,M,2020-04-18,Primaria,1,D,Mañana,4,2244,Padre
105,42800596,Antonella Dulce,Palacios,Espinoza,F,2020-05-15,Primaria,1,D,Mañana,4,2814,Padre
106,72779790,Andres Alexis,Flores,Farfan,M,2020-03-12,Primaria,1,D,Mañana,4,2507,Madre
107,37483634,Renata Flor,Garcia,Mendoza,F,2020-12-14,Primaria,1,D,Mañana,4,1143,Madre
108,22523404,Leonardo Hugo,Marin,Mendoza,M,2020-12-19,Primaria,1,D,Mañana,4,1678,Madre
109,50614603,Kiara Karen,Farfan,Yataco,F,2020-04-29,Primaria,1,D,Mañana,4,1909,Madre
110,43529863,Benjamin Bryan,Diaz,Alarcon,M,2020-07-01,Primaria,1,D,Mañana,4,1279,Padre
111,62420758,Jose Anthony,Sanchez,Mendoza,M,2020-11-01,Primaria,1,D,Mañana,4,2254,Madre
112,21763276,Jhoana Rafaella,Farfan,Diaz,F,2020-07-31,Primaria,1,D,Mañana,4,2004,Padre
113,73837412,Rafaella Milagros,Salazar,Apaza,F,2020-07-03,Primaria,1,D,Mañana,4,1741,Madre
114,71577152,Miguel Renzo,Quispe,Apaza,M,2020-03-29,Primaria,1,D,Mañana,4,2443,Padre
115,10652545,Pedro Raul,Farfan,Diaz,M,2020-08-24,Primaria,1,D,Mañana,4,1897,Madre
116,15111057,Nicolas Dylan,Paredes,Rojas,M,2020-03-15,Primaria,1,D,Mañana,4,1568,Madre
117,32117579,Alexander Juan,Bravo,Quispe,M,2020-07-26,Primaria,1,D,Mañana,4,740,Madre
118,43239302,Diana Nayeli,Yataco,Mendoza,F,2020-02-25,Primaria,1,D,Mañana,4,684,Madre
119,40264904,Ruth Pilar,Palacios,Salvador,F,2020-02-25,Primaria,1,D,Mañana,4,1293,Padre
120,67042105,Fernando Aaron,Reyes,Palacios,M,2020-09-15,Primaria,1,D,Mañana,4,2608,Padre
121,50868403,Maria Brenda,Ticona,Cutipa,F,2020-03-11,Primaria,1,D,Mañana,4,2565,Madre
122,26196871,Bryan Piero,Cornejo,Ruiz,M,2020-01-20,Primaria,1,D,Mañana,4,691,Padre
123,52920885,Katherine Maria,Farfan,Paredes,F,2020-02-08,Primaria,1,D,Mañana,4,29,Madre
124,62540555,Susan Ashley,Rivera,Castillo,F,2020-02-04,Primaria,1,D,Mañana,4,3111,Madre
125,54099578,Ximena Teresa,Palacios,Rodriguez,F,2020-06-27,Primaria,1,D,Mañana,4,1599,Madre
126,35328345,Ariana Grecia,Chavez,Condori,F,2020-07-24,Primaria,1,E,Mañana,5,2093,Padre
127,27029467,Xiomara Brenda,Leon,Aguilar,F,2020-05-23,Primaria,1,E,Mañana,5,2345,Padre
128,45355801,Piero Julio,Huaraca,Ruiz,M,2020-12-04,Primaria,1,E,Mañana,5,2306,Madre
129,43069336,Melissa Flor,Campos,Sanchez,F,2020-05-30,Primaria,1,E,Mañana,5,2427,Madre
130,28195956,Alessandra Sofia,Bravo,Aquino,F,2020-06-27,Primaria,1,E,Mañana,5,2472,Madre
131,11834036,Teresa Britany,Cabrera,Salazar,F,2020-06-27,Primaria,1,E,Mañana,5,915,Madre
132,22670315,Ashley Vanessa,Cabanillas,Silva,F,2020-02-23,Primaria,1,E,Mañana,5,2657,Madre
133,74813814,Rafaella Maria,Mendoza,Ortiz,F,2020-03-25,Primaria,1,E,Mañana,5,3074,Madre
134,30256931,Fabricio Aaron,Diaz,Machaca,M,2020-08-30,Primaria,1,E,Mañana,5,571,Madre
135,69067212,Nicole Renata,Ortiz,Cabanillas,F,2020-06-30,Primaria,1,E,Mañana,5,2302,Madre
136,45185423,Nicolas Miguel,Diaz,Quispe,M,2020-11-18,Primaria,1,E,Mañana,5,1119,Madre
137,44992116,Sofia Emily,Garcia,Ochoa,F,2020-11-20,Primaria,1,E,Mañana,5,2784,Madre
138,34357033,Elena Ashley,Rojas,Guzman,F,2020-06-07,Primaria,1,E,Mañana,5,2367,Madre
139,57841604,Emily Ariana,Choque,Nunez,F,2020-11-23,Primaria,1,E,Mañana,5,331,Padre
140,29516614,Katty Ashley,Aguilar,Mamani,F,2020-11-11,Primaria,1,E,Mañana,5,165,Padre
141,53560935,Marco Angel,Villanueva,Ruiz,M,2020-08-24,Primaria,1,E,Mañana,5,863,Madre
142,48518799,Elena Rafaella,Vasquez,Yataco,F,2020-04-08,Primaria,1,E,Mañana,5,1721,Madre
143,41531874,Maria Katherine,Palacios,Quispe,F,2020-11-28,Primaria,1,E,Mañana,5,2787,Padre
144,49439818,Wilson Ian,Cardenas,Cutipa,M,2020-08-18,Primaria,1,E,Mañana,5,2325,Padre
145,29513094,Sebastian Raul,Ticona,Vargas,M,2020-04-10,Primaria,1,E,Mañana,5,2054,Madre
146,39212616,Luana Estefany,Ochoa,Cabanillas,F,2020-04-09,Primaria,1,E,Mañana,5,1702,Padre
147,58314401,Katty Julia,Espinoza,Alarcon,F,2020-07-29,Primaria,1,E,Mañana,5,1218,Madre
148,38936706,Milagros Xiomara,Cardenas,Nunez,F,2020-03-23,Primaria,1,E,Mañana,5,113,Padre
149,40771534,Katherine Mia,Gonzales,Carrillo,F,2020-01-24,Primaria,1,E,Mañana,5,830,Madre
150,19692231,Alberto Manuel,Gutierrez,Campos,M,2020-08-25,Primaria,1,E,Mañana,5,330,Padre
151,48123808,Yamil Jose,Vargas,Ticona,M,2020-07-17,Primaria,1,E,Mañana,5,1461,Padre
152,15618533,Carmen Elena,Vega,Yupanqui,F,2020-01-21,Primaria,1,E,Mañana,5,72,Padre
153,30926709,Edgar Rodrigo,Espinoza,Cornejo,M,2020-12-23,Primaria,1,E,Mañana,5,2444,Madre
154,55482734,Zoe Teresa,Ochoa,Mendoza,F,2020-07-13,Primaria,1,E,Mañana,5,2150,Madre
155,11080567,Diana Dulce,Soto,Cabanillas,F,2020-05-06,Primaria,1,E,Mañana,5,3154,Padre
156,45605748,Julio Juan,Rojas,Cruz,M,2020-01-08,Primaria,1,E,Mañana,5,741,Padre
157,56645865,Milagros Zoe,Carrillo,Nunez,F,2020-12-09,Primaria,1,E,Mañana,5,3081,Madre
158,48273645,Jorge Piero,Herrera,Flores,M,2020-09-30,Primaria,1,E,Mañana,5,852,Madre
159,65137301,Ana Elena,Gonzales,Cardenas,F,2020-05-09,Primaria,1,E,Mañana,5,2003,Padre
160,51344033,Victor Cristian,Chavez,Machaca,M,2020-05-25,Primaria,1,E,Mañana,5,1909,Madre
161,13408875,Katty Emily,Huaraca,Cardenas,F,2020-11-20,Primaria,1,E,Mañana,5,1435,Madre
162,12165373,Antonella Vanessa,Medina,Chavez,F,2020-03-09,Primaria,1,E,Mañana,5,1736,Madre
163,10079956,Dylan Yamil,Gutierrez,Nunez,M,2020-04-07,Primaria,1,E,Mañana,5,2155,Padre
164,33745158,Gonzalo Andres,Choque,Soto,M,2020-01-24,Primaria,1,E,Mañana,5,67,Padre
165,72865637,Yesica Susan,Rimac,Ortiz,F,2020-07-27,Primaria,1,E,Mañana,5,126,Padre
166,16674959,Aaron Miguel,Carrillo,Ramos,M,2020-04-20,Primaria,1,F,Mañana,6,2425,Madre
167,19466276,Angel Raul,Ticona,Aguilar,M,2020-05-13,Primaria,1,F,Mañana,6,475,Madre
168,69946744,Melissa Luz,Romero,Vasquez,F,2020-12-02,Primaria,1,F,Mañana,6,379,Madre
169,10052659,Diana Rosa,Bravo,Guzman,F,2020-08-09,Primaria,1,F,Mañana,6,823,Madre
170,59639715,Alberto Ivan,Rimac,Palacios,M,2020-05-03,Primaria,1,F,Mañana,6,2921,Madre
171,75938862,Rosa Yesica,Zavala,Quispe,F,2020-07-21,Primaria,1,F,Mañana,6,1674,Padre
172,46654895,Raul Cesar,Romero,Pacheco,M,2020-01-28,Primaria,1,F,Mañana,6,3197,Padre
173,79264656,Yolanda Emily,Cardenas,Cabanillas,F,2020-07-16,Primaria,1,F,Mañana,6,2202,Madre
174,50911376,Renata Daniela,Machaca,Vilca,F,2020-06-04,Primaria,1,F,Mañana,6,2786,Padre
175,18744201,Karen Daniela,Aguilar,Huaman,F,2020-04-15,Primaria,1,F,Mañana,6,784,Padre
176,41539789,Ariana Ximena,Mamani,Leon,F,2020-04-03,Primaria,1,F,Mañana,6,1576,Padre
177,32369191,Patricia Jhoana,Flores,Sanchez,F,2020-05-19,Primaria,1,F,Mañana,6,656,Padre
178,18267527,Edgar Fabricio,Alarcon,Cornejo,M,2020-07-25,Primaria,1,F,Mañana,6,2115,Padre
179,49255036,Nayeli Susan,Marin,Lazo,F,2020-09-08,Primaria,1,F,Mañana,6,7,Madre
180,48102841,Zoe Yolanda,Choque,Reyes,F,2020-06-30,Primaria,1,F,Mañana,6,2091,Padre
181,15608861,Katty Abigail,Torres,Bautista,F,2020-04-07,Primaria,1,F,Mañana,6,481,Madre
182,31658491,Vanessa Nayeli,Nunez,Machaca,F,2020-12-02,Primaria,1,F,Mañana,6,768,Padre
183,42408521,Jhon Adrian,Villanueva,Diaz,M,2020-05-13,Primaria,1,F,Mañana,6,820,Madre
184,36765348,Marco Cesar,Machaca,Torres,M,2020-05-29,Primaria,1,F,Mañana,6,275,Madre
185,33126303,Flor Kiara,Gutierrez,Torres,F,2020-03-23,Primaria,1,F,Mañana,6,1241,Madre
186,32710668,Renzo Angel,Bravo,Ochoa,M,2020-09-18,Primaria,1,F,Mañana,6,1146,Madre
187,52546809,Angel Hugo,Apaza,Campos,M,2020-09-29,Primaria,1,F,Mañana,6,2409,Madre
188,28392176,Franco Thiago,Vargas,Machaca,M,2020-10-15,Primaria,1,F,Mañana,6,2691,Padre
189,36354832,Sofia Kiara,Zavala,Delgado,F,2020-08-16,Primaria,1,G,Tarde,7,672,Padre
190,22214032,Vanessa Nayeli,Cabanillas,Salvador,F,2020-01-14,Primaria,1,G,Tarde,7,2336,Madre
191,65792051,Renata Alexandra,Rivera,Lazo,F,2020-12-02,Primaria,1,G,Tarde,7,652,Madre
192,62892072,Teresa Yolanda,Delgado,Salvador,F,2020-11-02,Primaria,1,G,Tarde,7,2109,Madre
193,67399084,Jhoel Nicolas,Vega,Medina,M,2020-12-10,Primaria,1,G,Tarde,7,2035,Padre
194,46256422,Julia Diana,Ibarra,Delgado,F,2020-01-25,Primaria,1,G,Tarde,7,225,Padre
195,52001435,Pedro Bryan,Yataco,Espinoza,M,2020-10-12,Primaria,1,G,Tarde,7,57,Padre
196,19012130,Hugo Joaquin,Vilca,Gonzales,M,2020-12-21,Primaria,1,G,Tarde,7,1345,Padre
197,64190263,Daniela Maria,Medina,Bautista,F,2020-09-16,Primaria,1,G,Tarde,7,85,Madre
198,48088662,Jorge Mateo,Lazo,Garcia,M,2020-12-25,Primaria,1,G,Tarde,7,1823,Padre
199,67791208,Luis Nicolas,Silva,Huaman,M,2020-08-31,Primaria,1,G,Tarde,7,1156,Madre
200,59267929,Benjamin Wilson,Paucar,Flores,M,2020-05-31,Primaria,1,G,Tarde,7,144,Padre
201,32646516,Ivan Jose,Chavez,Vilca,M,2020-01-01,Primaria,1,G,Tarde,7,2488,Madre
202,72924144,Carlos Pedro,Quispe,Ramos,M,2020-04-05,Primaria,1,G,Tarde,7,2018,Padre
203,39801008,Bryan Anthony,Pacheco,Lazo,M,2020-12-10,Primaria,1,G,Tarde,7,2114,Madre
204,54359819,Mateo Jose,Yupanqui,Aquino,M,2020-03-16,Primaria,1,G,Tarde,7,166,Padre
205,76982097,Melissa Estefany,Garcia,Apaza,F,2020-07-15,Primaria,1,G,Tarde,7,3161,Madre
206,70877800,Rafaella Dulce,Paredes,Paucar,F,2020-06-20,Primaria,1,G,Tarde,7,357,Madre
207,11363093,Sebastian Victor,Vega,Espinoza,M,2020-11-28,Primaria,1,G,Tarde,7,1214,Padre
208,75984610,Raul Andres,Aguilar,Aquino,M,2020-01-23,Primaria,1,G,Tarde,7,1509,Padre
209,13694171,Oscar Marco,Chavez,Silva,M,2020-11-08,Primaria,1,G,Tarde,7,2390,Madre
210,73880770,Vanessa Ashley,Rojas,Herrera,F,2020-03-29,Primaria,1,G,Tarde,7,1566,Madre
211,39779425,Mateo Miguel,Garcia,Gutierrez,M,2020-05-06,Primaria,1,G,Tarde,7,2878,Padre
212,26483515,Dulce Yesenia,Choque,Cardenas,F,2020-10-08,Primaria,1,G,Tarde,7,1269,Madre
213,58709784,Mia Ariana,Ramos,Machaca,F,2020-11-20,Primaria,1,G,Tarde,7,2108,Madre
214,58602108,Fiorella Milagros,Cornejo,Ramos,F,2020-12-27,Primaria,1,G,Tarde,7,2163,Padre
215,50223062,Anthony Joaquin,Yataco,Rojas,M,2020-08-21,Primaria,1,G,Tarde,7,362,Padre
216,58109315,Anthony Dylan,Castillo,Mamani,M,2020-09-12,Primaria,1,H,Tarde,8,1799,Padre
217,25368898,Emily Sofia,Espinoza,Ticona,F,2020-07-08,Primaria,1,H,Tarde,8,2556,Padre
218,58122315,Leonardo Jhon,Huaman,Machaca,M,2020-08-11,Primaria,1,H,Tarde,8,1977,Padre
219,41230458,Valentina Melissa,Torres,Ortiz,F,2020-09-09,Primaria,1,H,Tarde,8,2811,Padre
220,22763295,Luis Jose,Apaza,Nunez,M,2020-08-29,Primaria,1,H,Tarde,8,1216,Madre
221,71501471,Renzo Jose,Alvarez,Pacheco,M,2020-07-12,Primaria,1,H,Tarde,8,2873,Padre
222,11578441,Paula Valentina,Cruz,Machaca,F,2020-04-18,Primaria,1,H,Tarde,8,710,Padre
223,10751187,Fiorella Valentina,Ccahuana,Aquino,F,2020-10-19,Primaria,1,H,Tarde,8,2602,Padre
224,18851699,Hugo Samuel,Sanchez,Choque,M,2020-09-13,Primaria,1,H,Tarde,8,740,Madre
225,54094630,Franco Jhon,Herrera,Ccahuana,M,2020-06-22,Primaria,1,H,Tarde,8,2639,Padre
226,50252507,Mateo Thiago,Vasquez,Diaz,M,2020-05-24,Primaria,1,H,Tarde,8,1629,Madre
227,11514992,Emily Yolanda,Ruiz,Cutipa,F,2020-01-18,Primaria,1,H,Tarde,8,1311,Madre
228,70483150,Renata Yesenia,Bautista,Salazar,F,2020-07-09,Primaria,1,H,Tarde,8,2282,Madre
229,42565133,Gustavo Benjamin,Gutierrez,Rivera,M,2020-04-21,Primaria,1,H,Tarde,8,969,Padre
230,43965775,Yolanda Luz,Yataco,Palacios,F,2020-02-15,Primaria,1,H,Tarde,8,626,Padre
231,29932091,Nicole Pilar,Vilca,Bautista,F,2020-07-13,Primaria,1,H,Tarde,8,123,Madre
232,25953122,Yesica Ximena,Huaman,Torres,F,2020-03-17,Primaria,1,H,Tarde,8,2913,Padre
233,58017513,Alberto Joaquin,Marin,Silva,M,2020-07-28,Primaria,1,H,Tarde,8,1185,Madre
234,61871143,Danna Elena,Salvador,Espinoza,F,2020-02-23,Primaria,1,H,Tarde,8,1115,Padre
235,57807536,Bryan Franco,Delgado,Salvador,M,2020-04-17,Primaria,1,H,Tarde,8,1855,Padre
236,75240565,Fiorella Yesica,Cornejo,Silva,F,2020-06-09,Primaria,1,H,Tarde,8,765,Madre
237,43564512,Alessandra Milagros,Palacios,Espinoza,F,2020-11-20,Primaria,1,H,Tarde,8,2593,Madre
238,27203284,Xiomara Luz,Pacheco,Ramos,F,2020-09-03,Primaria,1,H,Tarde,8,163,Padre
239,56183925,Britany Isabel,Espinoza,Rojas,F,2020-12-29,Primaria,1,H,Tarde,8,2913,Padre
240,65944110,Fabricio Franco,Guzman,Ruiz,M,2020-01-24,Primaria,1,H,Tarde,8,1520,Padre
241,21422210,Cesar Jorge,Condori,Mendoza,M,2020-11-12,Primaria,1,H,Tarde,8,2520,Madre
242,77331836,Fernando Martin,Garcia,Condori,M,2020-11-20,Primaria,1,H,Tarde,8,308,Madre
